"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"    Estimate","90,388","5,651","5,399"
"Redlands city, California","","",""
"    Estimate","68,967","2,263","2,824"
"Redondo Beach city, California","","",""
"    Estimate","66,559","1,066","784"
"Redwood City city, California","","",""
"    Estimate","84,904","2,502","3,670"
"Reedley city, California","","",""
"    Estimate","25,308","1,828","1,798"
"Rialto city, California","","",""
"    Estimate","102,983","6,120","7,832"
"Richmond city, California","","",""
"    Estimate","109,608","7,645","7,067"
"Ridgecrest city, California","","",""
"    Estimate","28,682","3,217","1,008"
"Rio Linda CDP, California","","",""
"    Estimate","20,229","889","1,265"
"Riverbank city, California","","",""
"    Estimate","24,812","2,744","1,601"
"Riverside city, California","","",""
"    Estimate","315,822","16,712","19,613"
"Rocklin city, California","","",""
"    Estimate","68,473","1,272","2,074"
"Rohnert Park city, California","","",""
"    Estimate","43,062","2,426","1,627"
"Rosamond CDP, California","","",""
"    Estimate","21,059","529","2,141"
"Rosemead city, California","","",""
"    Estimate","53,609","1,989","4,807"
"Rosemont CDP, California","","",""
"    Estimate","19,762","1,312","1,065"
"Roseville city, California","","",""
"    Estimate","140,792","3,401","6,315"
"Rowland Heights CDP, California","","",""
"    Estimate","48,422","2,153","1,586"
"Sacramento city, California","","",""
"    Estimate","504,536","27,757","42,557"
"Salinas city, California","","",""
"    Estimate","153,952","12,423","15,150"
"San Bernardino city, California","","",""
"    Estimate","205,055","23,914","17,759"
"San Bruno city, California","","",""
"    Estimate","42,728","1,008","608"
"San Buenaventura (Ventura) city, California","","",""
"    Estimate","107,606","3,043","4,805"
"San Carlos city, California","","",""
"    Estimate","30,153","335","379"
"San Clemente city, California","","",""
"    Estimate","64,525","1,801","935"
"San Diego city, California","","",""
"    Estimate","1,390,702","76,032","77,329"
"San Dimas city, California","","",""
"    Estimate","32,821","2,670","1,889"
"San Fernando city, California","","",""
"    Estimate","23,973","624","3,389"
"San Francisco city, California","","",""
"    Estimate","867,649","41,715","40,641"
"San Gabriel city, California","","",""
"    Estimate","39,240","2,112","3,542"
"Sanger city, California","","",""
"    Estimate","25,257","144","2,275"
"San Jacinto city, California","","",""
"    Estimate","49,153","4,241","5,754"
"San Jose city, California","","",""
"    Estimate","1,010,294","34,279","37,652"
"San Juan Capistrano city, California","","",""
"    Estimate","35,647","686","72"
"San Leandro city, California","","",""
"    Estimate","88,418","4,546","3,885"
"San Lorenzo CDP, California","","",""
"    Estimate","24,702","321","783"
"San Luis Obispo city, California","","",""
"    Estimate","46,884","8,063","5,077"
"San Marcos city, California","","",""
"    Estimate","95,657","5,345","5,408"
"San Mateo city, California","","",""
"    Estimate","103,765","3,120","3,593"
"San Pablo city, California","","",""
"    Estimate","30,452","1,986","1,574"
"San Rafael city, California","","",""
"    Estimate","56,836","2,375","2,561"
"San Ramon city, California","","",""
"    Estimate","75,756","1,355","110"
"Santa Ana city, California","","",""
"    Estimate","328,174","14,462","27,026"
"Santa Barbara city, California","","",""
"    Estimate","89,445","4,026","4,652"
"Santa Clara city, California","","",""
"    Estimate","124,633","2,870","2,062"
"Santa Clarita city, California","","",""
"    Estimate","210,439","8,600","8,980"
"Santa Cruz city, California","","",""
"    Estimate","54,261","6,105","3,415"
"Santa Maria city, California","","",""
"    Estimate","105,282","5,623","7,835"
"Santa Monica city, California","","",""
"    Estimate","89,423","5,441","4,414"
"Santa Paula city, California","","",""
"    Estimate","29,171","1,766","2,698"
"Santa Rosa city, California","","",""
"    Estimate","174,180","6,025","5,319"
"Santee city, California","","",""
"    Estimate","56,317","3,617","2,903"
"Saratoga city, California","","",""
"    Estimate","30,000","573","725"
"Seal Beach city, California","","",""
"    Estimate","24,868","403","575"
"Seaside city, California","","",""
"    Estimate","32,459","3,606","1,310"
